client_id,full_name,city,email,age,gender,annual_income,credit_score,debt_ratio,loan_amount,owns_home,loan_purpose,employment,years_job
C04685,Laurent-Jacques Poulain,Saint Guillaume-les-Bains,eugene57@example.org,59,M,49423.82,677.0,20.46,28148.61,Non,Éducation,Freelance,7.7
C00486,Benoît Guillou de Peltier,Legros,bgaudin@example.net,37,M,72462.91,695.0,60.06,13103.59,Non,Éducation,CDI,9.2
C01962,Adrienne Lelièvre,Rollanddan,guyotantoine@example.net,26,M,37636.35,718.0,33.63,13581.08,Oui,Éducation,Retraité,5.2
C00393,Philippine Perrin de Bègue,Delmas-la-Forêt,lucie21@example.com,52,F,,617.0,40.68,8017.41,Autre,Achat Maison,Sans Emploi,0.3
C04983,Diane-Célina Ramos,Rémy,alexandrerobert@example.net,40,F,46410.07,711.0,33.0,2337.32,Non,Éducation,CDI,1.4
C04867,Noémi-Michelle Bigot,Roux-sur-Laine,vdupont@example.org,36,F,26488.88,707.0,40.48,20446.5,Non,Auto,CDI,1.4
C01755,Georges Charrier Le Bonnet,Dumont,andreeramos@example.com,36,M,,712.0,0.98,13372.9,Oui,Achat Maison,Sans Emploi,0.8
C02515,Philippe Vasseur-Coste,Becker,denispoirier@example.net,64,M,erreur_system,731.0,48.1,6450.89,Non,Consommation,Retraité,0.2
C03585,Alice Carpentier,Foucher,guillaume45@example.com,30,F,41285.21,699.0,16.41,22638.3,Non,Éducation,Retraité,5.3
C04316,Henriette Descamps,Dubois,emmanuellepottier@example.com,73,F,,785.0,57.04,12276.28,Oui,Business,Sans Emploi,3.9
C04967,Julien Lopes,Sainte Lucie,cordierrichard@example.org,37,M,,765.0,29.19,1361.9,Oui,Auto,CDI,1.7
C02099,Thomas Le Dupuy,Saint Léon,richard70@example.org,32,M,91719.35,725.0,16.4,12016.15,Oui,Business,CDI,9.3
C03599,Gilbert de la Delattre,Perrot-sur-Chevalier,gerardbourdon@example.org,53,M,75271.89,809.0,38.26,21705.03,Non,Consommation,CDI,0.4
C04121,Yves Jacquet,Pruvost-sur-Devaux,inesclerc@example.net,71,M,64137.03,615.0,50.71,27075.13,Oui,Auto,Sans Emploi,0.3
C00029,Nicole Weiss,Gérardnec,louise60@example.net,43,F,,686.0,18.09,10053.55,Oui,Éducation,Sans Emploi,17.7
C00065,Thérèse-Jacqueline Reynaud,Brun,leon18@example.net,36,M,53750.33,570.0,30.49,18958.55,Non,Éducation,CDD,8.4
C00838,Olivier Le Schmitt,Klein-les-Bains,chretienceline@example.org,18,M,74749.35,603.0,8.64,22655.21,Oui,Éducation,Sans Emploi,2.0
C03906,Michel-Eugène Roussel,Saint Virginie,yves78@example.net,58,F,,699.0,21.29,2756.15,Non,Achat Maison,Sans Emploi,2.5
C03773,Simone de Gros,Mallet-les-Bains,noemida-costa@example.com,25,M,76978.35,530.0,17.81,9103.91,Non,Rénovation,CDI,8.1
C04880,Gabriel Pottier,Couturier,briandemilie@example.net,39,M,51082.89,679.0,3.26,22885.41,Non,Rénovation,CDI,3.1
C03161,Édith de la Maury,Cousin,maillotdanielle@example.org,68,M,31187.14,846.0,18.21,11267.68,Oui,Éducation,Freelance,4.0
C02659,Marianne Lacroix,Vallet,augusteparis@example.com,27,M,52332.29,714.0,35.06,21884.62,Oui,Auto,Freelance,0.1
C04616,Nath Lebreton de la Normand,Boutin,rene84@example.com,34,M,42647.55,698.0,22.93,6556.14,Oui,Auto,CDD,5.1
C04629,Susan Marchal,Goncalves,lucypires@example.net,38,M,56135.36,599.0,44.18,22791.17,Oui,Rénovation,Freelance,3.0
C02451,Robert Marion,Roux,hmarin@example.net,68,F,51076.96,623.0,51.53,3118.54,Oui,Auto,Sans Emploi,12.2
C02846,Timothée Lemonnier,Leleu,lamysabine@example.net,67,F,23353.82,669.0,20.89,23066.4,Oui,Éducation,CDD,3.1
C01144,Théophile Poirier,Martinez-sur-Fouquet,mathildeevrard@example.com,36,M,,693.0,12.94,16323.9,Oui,Achat Maison,CDI,2.8
C03078,Aurélie Adam,Saint PatriciaBourg,caroline27@example.org,29,F,46836.65,812.0,42.34,13511.72,Non,Consommation,Freelance,3.6
C01103,Danielle Pasquier,Chevallier,oandre@example.net,26,M,73421.38,729.0,49.02,7370.7,Non,Auto,CDI,0.4
C00168,Audrey Dos Santos-Fernandes,Berthelot,voisinxavier@example.net,37,F,42381.18,671.0,7.45,6101.53,Oui,Rénovation,Sans Emploi,39.2
C01670,Arnaude Richard de la Bègue,Sainte Claudine,pierre49@example.net,61,F,20446.68,628.0,29.1,15444.99,Oui,Rénovation,Freelance,2.5
C02570,Claude Masson,Guillot,adelaidebaron@example.org,63,M,26866.34,722.0,20.52,6790.49,Oui,Achat Maison,CDI,1.7
C02377,Marguerite De Sousa,Duval-sur-Mer,hbouvet@example.com,25,F,,623.0,25.42,20331.93,Oui,Rénovation,Retraité,0.7
C04396,Clémence Thibault,Boulay,odette82@example.org,34,F,47258.41,691.0,34.86,8417.66,Oui,Achat Maison,CDI,6.1
C04258,Margaux Lebreton,Vasseur,ctanguy@example.net,52,M,100969.31,801.0,34.86,10191.08,Non,Achat Maison,CDI,17.9
C03862,Édith Le Grondin,Sainte Margaux,lemonniermichelle@example.org,32,M,66342.76,534.0,17.89,22309.66,Oui,Business,CDI,7.6
C00023,Monique Dupuy,Gautier,parisjacques@example.com,70,F,32518.62,688.0,27.51,17444.07,Non,Auto,CDD,8.8
C02633,Hugues Blanchard,Benoit,crossi@example.net,50,M,76046.16,676.0,64.29,12174.59,Non,Achat Maison,CDD,2.0
C03340,Jules Renault,Garnier-la-Forêt,philippebodin@example.org,48,M,,810.0,37.38,18078.49,Oui,Business,Sans Emploi,5.0
C02215,Andrée-Claudine Julien,Leroux,groshenriette@example.org,40,M,,698.0,18.85,15490.94,Autre,Achat Maison,Sans Emploi,0.1
C03682,Benoît Lemaire du Grondin,Morvan-sur-Coste,corinnecarre@example.com,30,F,47984.93,613.0,35.98,19154.08,Non,Achat Maison,Sans Emploi,2.0
C04725,Michèle Didier,Blondelboeuf,charlotte50@example.com,45,M,44856.96,679.0,22.37,18786.93,Oui,Rénovation,CDD,4.0
C01907,Luc Delannoy,Fouquet,dlevy@example.com,27,M,58751.52,697.0,4.91,12779.2,Non,Éducation,Retraité,1.6
C00084,Andrée Girard,Guillot,acoulon@example.com,53,M,55319.52,600.0,53.44,11688.87,Non,Business,CDI,1.2
C00227,Margot Benard-Boutin,Wagner,etienne98@example.net,51,M,47753.39,718.0,40.32,13797.75,Oui,Achat Maison,CDI,9.0
C00296,Théodore Delorme du Gérard,Rivièredan,sabine66@example.net,66,F,28080.12,719.0,6.29,19394.64,Oui,Achat Maison,Sans Emploi,0.8
C01001,Alphonse Georges-Marchal,Traore,philippeolivie@example.org,59,F,40369.29,602.0,23.8,18701.52,Oui,Achat Maison,CDD,9.5
C02138,Juliette Gaudin,Menard,normandjeannine@example.com,48,M,77506.48,728.0,46.3,18509.48,Oui,Éducation,CDI,9.2
C00711,Arthur Georges,Ruiz,allarderic@example.com,47,F,24219.22,593.0,50.64,13977.92,Non,Éducation,CDI,0.7
C02801,Charlotte-Manon Gallet,Lebrunnec,richardguillaume@example.com,43,F,43337.21,640.0,2.36,24496.98,Oui,Éducation,Sans Emploi,25.9
C02527,Charles Guilbert-Hubert,Boulanger,klevy@example.net,72,M,24025.36,731.0,37.04,2317.86,Non,Consommation,CDI,4.1
C03752,Alex Chauvet,Costa-sur-Aubry,zmillet@example.com,72,M,37706.61,593.0,11.23,20124.94,Oui,Achat Maison,CDD,14.8
C03321,William Renard,Baudry-la-Forêt,lainejosephine@example.com,27,F,18631.02,722.0,51.32,4493.81,Oui,Éducation,Retraité,3.0
C03181,Michelle Gomez,Sainte Jules,hoarauelodie@example.net,29,M,49152.82,691.0,29.61,21038.91,Non,Business,Sans Emploi,3.2
C04183,Jules Alexandre,Saint ClaireBourg,lorrainemartel@example.org,66,F,41180.41,807.0,7.22,22333.43,Oui,Rénovation,CDD,13.0
C01615,André Joubert,Torres-sur-Moreau,edithgermain@example.net,27,M,70999.19,601.0,24.84,16149.03,Oui,Achat Maison,Retraité,7.8
C03024,Maggie Briand,ChartierVille,laurentgimenez@example.com,39,M,30240.91,639.0,28.34,28078.89,Non,Consommation,CDI,1.7
C01413,Patrick Courtois de Roger,Saint Michellenec,manonparis@example.net,63,M,60732.52,695.0,15.88,3787.47,Oui,Business,Retraité,0.8
C00763,Alain Bertin,Pagesdan,elodiegeorges@example.net,71,M,,850.0,28.86,6183.96,Oui,Achat Maison,Sans Emploi,1.4
C00655,Monique Delaunay-Barre,LemonnierBourg,amelieleger@example.net,48,M,56363.11,768.0,17.65,15209.61,Oui,Auto,CDI,1.8
C04938,Éléonore-Élodie Cohen,Muller-sur-Joly,audrey86@example.org,34,M,61329.27,687.0,23.2,13936.23,Oui,Auto,Sans Emploi,1.9
C03849,Margaud de la Pascal,Maillot-sur-Mer,bernardfranck@example.com,30,F,45184.42,786.0,34.83,14449.26,Oui,Achat Maison,CDD,2.5
C04153,Camille Regnier,Saint Véronique-la-Forêt,ehenry@example.org,73,M,35208.87,650.0,17.87,22641.66,Non,Rénovation,Sans Emploi,3.3
C00468,Philippe Imbert,Lefebvre-sur-Martineau,gabrielleroy@example.net,28,F,32889.71,713.0,58.89,2426.27,Oui,Éducation,Sans Emploi,4.3
C00157,Geneviève Schmitt,Lévyboeuf,salmonadelaide@example.net,49,F,38295.5,711.0,43.71,20980.31,Oui,Auto,CDD,6.9
C01295,Olivie Da Silva,Pinto-les-Bains,boucheralexandrie@example.com,47,F,36503.2,623.0,36.36,13429.3,Non,Rénovation,CDD,3.5
C00497,Tristan Leduc,TurpinBourg,kpottier@example.com,39,M,37440.49,690.0,19.24,12925.75,Non,Achat Maison,CDI,3.5
C04741,Henri Dias,Sainte Élise,claude01@example.com,44,M,,708.0,1.58,24774.06,Non,Achat Maison,Sans Emploi,14.7
C02940,Gilles Texier,ValletVille,agathe29@example.com,58,M,61853.98,563.0,40.85,31402.68,Oui,Auto,CDD,0.9
C03456,Catherine Seguin du Gilbert,Michaud-les-Bains,lperrin@example.net,60,M,67391.4,763.0,26.78,18582.99,Autre,Achat Maison,CDD,2.4
C00373,Théophile Bernard,Royer,gomesroger@example.com,39,M,59617.87,706.0,33.14,16143.83,Oui,Consommation,Freelance,1.6
C00079,Émile Gillet,Gosselin,eugeneallain@example.net,56,F,13222.85,673.0,24.64,17227.79,Non,Business,Sans Emploi,4.2
C01553,Henriette-Capucine Mace,Saint Gabriel,etiennemichelle@example.net,53,M,45623.77,662.0,30.6,19800.78,Oui,Rénovation,CDD,2.9
C01669,Joséphine Girard Le Louis,Lefebvre,schneidersuzanne@example.org,59,M,61598.06,738.0,62.51,17341.56,Non,Business,CDI,2.7
C02131,Anastasie Masson,Philippe,claudedufour@example.com,73,M,39490.83,798.0,20.66,16362.9,Oui,Auto,Freelance,3.0
C04440,Georges Alves,Sainte Éric,carlierconstance@example.org,36,F,22682.0,787.0,36.5,7942.84,Non,Business,CDD,1.5
C00465,Isaac du Charrier,Hamon,benoitdanielle@example.org,73,M,,615.0,20.54,22118.19,Oui,Consommation,Sans Emploi,9.9
C00248,Théodore Gilbert Le Colas,Mendès,oceaneverdier@example.net,62,M,48630.66,801.0,26.04,12901.46,Autre,Rénovation,Freelance,3.1
C00931,Paul Le Breton,DelattreVille,paulette71@example.org,57,F,41176.61,699.0,42.68,19907.92,Oui,Consommation,CDI,1.4
C01335,Caroline Chauvet,Charles-les-Bains,duhamelarnaude@example.net,74,M,53197.85,668.0,37.46,25704.42,Oui,Achat Maison,CDD,1.2
C04525,Agathe de Millet,Louis,charles65@example.org,44,M,57812.76,774.0,29.88,12196.82,Non,Auto,CDD,1.4
C01338,Xavier Rousseau du Chevallier,LeblancVille,therese52@example.com,62,F,50939.24,609.0,10.25,24349.68,Oui,Business,CDI,9.5
C01406,Mathilde-Margaux Gilbert,Raynaud-sur-Mer,bonnindiane@example.com,37,F,41017.02,669.0,11.22,17314.04,Oui,Rénovation,Freelance,5.1
C01090,Diane-Michelle Le Gall,Durand,marcellesalmon@example.org,46,F,19577.38,748.0,44.43,13250.06,Non,Rénovation,CDI,5.7
C04209,Denise Hardy,Saint Andrée,rousselalex@example.com,52,M,,641.0,55.72,19208.42,Non,Consommation,Sans Emploi,0.0
C00742,Frédéric Ribeiro-Neveu,PerrierBourg,marechalsylvie@example.net,54,F,41096.99,771.0,33.28,9841.4,Non,Consommation,CDI,3.9
C02323,Maggie-Laetitia Mercier,BarbeBourg,victorperez@example.net,55,F,47249.49,715.0,23.65,12889.52,Oui,Éducation,CDI,5.2
C03601,Henri Duhamel,Olivier-la-Forêt,leleustephanie@example.net,52,M,52717.2,631.0,53.88,9872.43,Non,Auto,Retraité,11.8
C02123,Christine Fischer,Philippe,suzannemunoz@example.com,52,F,39869.96,821.0,42.72,14702.7,Non,Consommation,Freelance,7.2
C02094,Auguste Georges-Mary,LouisBourg,anouk88@example.net,27,M,27463.54,582.0,28.22,27786.91,Oui,Éducation,CDI,8.1
C00240,Éléonore Roux,Saint Philippe,lauregimenez@example.net,25,M,57928.94,689.0,39.86,16681.5,Non,Achat Maison,Retraité,1.4
C02351,Camille-Célina Barbe,Sainte Henriettenec,patrick19@example.org,60,F,,612.0,57.12,22864.22,Oui,Rénovation,Sans Emploi,5.7
C01370,Caroline Leclerc,Dufournec,ygodard@example.com,68,M,59184.13,601.0,10.1,26231.15,Non,Auto,Freelance,20.1
C01057,Jacqueline Jourdan Le Didier,OlivierVille,de-sousamartin@example.net,62,F,50768.37,644.0,35.06,21407.21,Oui,Consommation,CDI,3.1
C04817,Danielle du Lecomte,Martel,thomas32@example.org,36,F,40835.82,715.0,46.53,19034.21,Oui,Éducation,Freelance,4.8
C00199,Céline Merle de la Langlois,Ruiz,josettelefort@example.org,72,F,35108.27,708.0,33.94,14575.84,Oui,Consommation,CDI,2.5
C02280,Patrick-Paul Grondin,Briandnec,henri64@example.com,61,M,53509.89,526.0,39.47,5307.14,Non,Business,Freelance,2.5
C04750,Zacharie Maurice du Raymond,Delorme,matthieu65@example.net,20,M,75238.3,620.0,18.79,15337.41,Non,Business,CDI,1.0
C02220,Rémy Riou de Buisson,Saint Suzanne-les-Bains,bonnetcorinne@example.net,71,M,,779.0,12.04,22632.64,Oui,Achat Maison,CDI,5.3
C04683,Laurent Bourgeois du Gillet,Dijoux,jeanninehoareau@example.net,21,M,,761.0,47.17,18947.05,Non,Consommation,Sans Emploi,7.7
C02819,Olivie Michaud,Pelletier,lfernandes@example.org,58,M,21796.17,779.0,20.38,4615.61,Non,Consommation,CDI,0.4
C03150,Jérôme Charrier,Saint Suzanne,sophie31@example.net,58,F,21084.9,584.0,31.71,6952.05,Non,Rénovation,Retraité,0.1
C04257,Honoré Le Roux,Reynaud,blinluce@example.com,23,F,45974.56,616.0,17.72,31029.5,Non,Rénovation,Retraité,1.0
C03107,Bernadette Couturier,Lesage-sur-Mer,allainfrancoise@example.org,39,F,27656.63,683.0,26.16,540.35,Non,Auto,CDI,0.6
C01973,Thibaut Roger,Mace-sur-Mallet,dbarre@example.net,37,M,68758.7,768.0,21.98,15162.59,Oui,Achat Maison,Retraité,0.8
C01375,Roger-Auguste Bruneau,Le Goff-sur-Mer,gautiercolette@example.net,72,M,37949.5,673.0,27.03,18001.43,Oui,Achat Maison,Freelance,2.6
C03968,Thérèse Monnier,Antoine-les-Bains,ghebert@example.net,51,F,23701.27,742.0,6.86,16610.81,Oui,Business,CDI,1.0
C04062,Jérôme Camus,Pagesnec,nicolasadrien@example.net,54,M,71464.81,711.0,13.32,631.03,Oui,Éducation,CDI,3.6
C04446,Édith-Alexandrie Lombard,Valette,adrien38@example.com,35,F,20195.29,658.0,37.67,8055.14,Non,Auto,CDI,3.5
C03557,Adélaïde Camus,Maréchal-sur-Marchand,constance92@example.org,37,F,,684.0,21.48,22803.13,Non,Consommation,Sans Emploi,5.1
C00964,Lorraine Merle-Blot,GérardVille,mjacquot@example.com,72,F,49012.47,791.0,40.18,1765.03,Oui,Consommation,CDI,1.8
C00179,Maggie Laroche,Lesage-les-Bains,veroniquegauthier@example.org,46,M,35466.77,707.0,55.82,11627.57,Oui,Auto,CDI,0.5
C03698,Audrey Courtois,Peltier,georgesgerard@example.com,34,M,44605.38,593.0,25.41,12980.37,Oui,Auto,CDI,13.4
C03821,Michèle-Susanne Gillet,Brunnec,dianedavid@example.com,18,M,30185.23,850.0,74.75,1406.84,Non,Rénovation,Retraité,7.0
C04879,Adèle-Joséphine Dias,Sainte Maryse,corinnedelahaye@example.net,61,M,95347.45,847.0,44.55,19136.22,Oui,Consommation,CDD,0.1
C03899,Laurent Bègue,Germain,mraymond@example.org,70,F,60050.5,727.0,34.75,20430.76,Oui,Business,CDI,6.4
C04890,Richard de Aubert,Bernardboeuf,ctexier@example.org,65,M,78186.11,649.0,28.42,22898.65,Oui,Achat Maison,CDD,14.4
C03238,Simone-Corinne Le Gall,Da Costanec,benoitmaillot@example.com,68,F,46999.43,644.0,13.42,21972.64,Non,Éducation,CDI,1.6
C02974,Andrée Hamon,Lefèvre,margottanguy@example.org,18,F,54894.99,656.0,37.2,15099.32,Non,Rénovation,CDI,1.9
C03580,Paul Pottier,Loiseau,patriciavallee@example.com,68,M,74691.02,698.0,30.55,42386.39,Non,Éducation,Freelance,4.9
C02887,Sophie-Monique Gros,Fleuryboeuf,alexandria14@example.org,21,M,45027.98,,27.17,18626.0,Non,Éducation,CDI,7.6
C02575,Stéphane Moreno-Delannoy,Lebreton,inescourtois@example.com,36,M,55237.49,713.0,17.02,17352.95,Non,Éducation,CDI,1.3
C01419,Josette Devaux-Gimenez,Bertin,glevy@example.net,45,M,50482.2,540.0,48.3,31584.11,Non,Éducation,CDD,4.7
C03907,Victor-Sébastien Georges,Lelièvre,renardsabine@example.org,73,M,31828.56,641.0,18.33,24462.83,Non,Éducation,CDI,4.0
C04674,Étienne-Pierre Guyot,Laporte-sur-Lucas,margot83@example.net,65,M,49577.48,721.0,18.54,8000.58,Non,Consommation,CDI,0.7
C04599,Tristan de Michaud,Lefortnec,pruvostgeorges@example.net,59,M,59384.73,639.0,29.28,17191.89,Oui,Achat Maison,CDI,4.3
C01860,Éléonore Valentin,Vasseurdan,diazgenevieve@example.net,60,M,59205.95,679.0,34.4,20469.31,Oui,Auto,CDI,5.6
C00008,Marcel Leblanc,Maurice,rouxceline@example.org,29,M,69947.16,684.0,44.02,6116.19,Non,Achat Maison,CDI,3.0
C02894,Denis du Martins,Morvan,christiane74@example.org,32,M,52059.94,715.0,16.56,6311.78,Oui,Rénovation,CDD,2.7
C02847,Monique Le Goff,Langlois,qpons@example.org,40,F,56549.78,850.0,30.94,18524.99,Non,Business,Freelance,0.8
C03664,Alix Roger,Cordier,matthieudescamps@example.org,47,F,36634.22,623.0,46.2,7688.06,Oui,Consommation,CDI,13.8
C00144,Henri Renault,Sainte Alexandre,adriencollet@example.net,74,M,,779.0,21.7,10707.92,Oui,Achat Maison,Sans Emploi,10.4
C02104,Geneviève Collet,Saint Thibaut-sur-Mer,therese94@example.com,67,F,24473.44,525.0,26.67,11367.3,Non,Éducation,CDD,6.8
C03143,Alexandria Renard,BaudryVille,igallet@example.net,50,M,,674.0,64.95,13445.93,Oui,Business,CDD,7.2
C00841,Laurence Carlier,Blanchet-sur-Lenoir,duboisluce@example.org,55,F,53410.67,740.0,28.41,17347.63,Oui,Rénovation,CDD,4.1
C01128,Michèle Lemoine,Loiseau,reneeleduc@example.net,49,F,54071.55,651.0,49.17,21225.37,Oui,Rénovation,Sans Emploi,0.6
C00151,David de Lambert,François-sur-Mer,deschampsamelie@example.com,34,M,47795.81,743.0,27.67,16882.63,Oui,Consommation,CDD,9.1
C03591,David-Eugène Lesage,Legros-les-Bains,qmasson@example.net,34,M,74717.45,730.0,43.99,23524.05,Non,Éducation,CDI,7.1
C01052,Philippine-Nicole Mahe,Brun-sur-Merle,lecomtenathalie@example.org,46,M,45528.53,832.0,2.05,27341.59,Oui,Éducation,CDI,4.0
C01590,Alexandre Fontaine,Morvan,augerclemence@example.com,59,M,,525.0,16.84,14928.48,Autre,Consommation,Sans Emploi,0.7
C03008,Adélaïde-Marcelle Bonnet,Sainte Agnès-la-Forêt,caroncapucine@example.com,53,F,55311.9,501.0,50.76,17229.02,Non,Achat Maison,CDD,1.9
C02029,Adrien Jacob-Lagarde,BesnardBourg,bernardmargot@example.com,37,F,31719.1,706.0,9.04,45940.86,Oui,Auto,Sans Emploi,2.7
C03418,Robert-Édouard Breton,Leblanc-sur-Tanguy,franckchretien@example.net,23,F,25188.23,584.0,62.85,23690.76,Oui,Business,CDI,6.2
C01807,Jacques Moreno,Roussel,qmerle@example.net,45,M,,850.0,47.17,18394.73,Oui,Éducation,Sans Emploi,0.9
C02696,Émile Le Langlois,Mathieu,gaudincelina@example.com,25,M,51521.5,577.0,14.08,23346.8,Non,Rénovation,CDI,0.1
C03039,Maggie du Gérard,RibeiroVille,franck76@example.net,29,M,,719.0,41.19,15670.85,Autre,Auto,Sans Emploi,1.1
C00472,Léon Lejeune Le Potier,Saint Louis,jrodriguez@example.org,42,M,65744.76,702.0,9.71,29436.63,Autre,Rénovation,CDI,1.3
C03289,Noël Bouchet Le Hebert,Sainte Valérienec,alexlanglois@example.net,28,M,53224.57,631.0,31.5,14732.07,Non,Éducation,CDD,0.6
C04074,Marc-Emmanuel Goncalves,Saint Geneviève,clairecharpentier@example.org,36,M,,520.0,21.04,22858.14,Non,Éducation,Sans Emploi,4.6
C03496,Hélène Picard,Paul,aetienne@example.com,23,F,43873.2,723.0,21.42,3986.98,Non,Business,CDD,2.4
C00279,Susan Pasquier-Vincent,Morvan,ymartineau@example.net,22,M,54193.08,663.0,43.8,19688.19,Oui,Rénovation,Sans Emploi,17.0
C01741,Amélie Adam,Toussaint,paulette22@example.org,60,F,60932.92,728.0,33.87,18584.19,Oui,Éducation,CDI,4.9
C04250,Sylvie de Pottier,Antoineboeuf,jacquotmargaud@example.org,41,M,65262.75,722.0,62.48,16038.02,Oui,Achat Maison,Freelance,23.2
C02886,Agnès Raynaud,Diaz,bbertrand@example.com,71,M,,700.0,28.28,10873.36,Autre,Rénovation,Sans Emploi,5.6
C01941,Colette Hervé,DurandBourg,pguillet@example.org,32,M,53860.94,794.0,25.24,14103.38,Non,Rénovation,Retraité,4.2
C00100,Adrienne Le Dupré,Tessier-sur-Léger,carolinegiraud@example.org,65,M,31211.72,790.0,14.39,12932.68,Non,Achat Maison,CDI,4.2
C02804,Pauline Torres,Fischer-sur-Maillard,marthe86@example.net,27,M,62487.63,490.0,67.1,6664.21,Non,Auto,Sans Emploi,4.0
C03570,Alix Moulin,Prévost,mbegue@example.net,63,F,40695.18,768.0,45.5,20139.61,Oui,Consommation,CDI,5.6
C03684,Aimée Hubert,Lemaire-sur-Gaillard,zclerc@example.com,73,M,67117.13,687.0,63.55,7425.18,Non,Achat Maison,CDI,3.4
C03661,Thibault Deschamps,Sainte Nathalie-sur-Mer,perrotlucie@example.net,44,F,31088.35,625.0,19.65,9675.69,Oui,Auto,Retraité,4.0
C00530,Zacharie Barthelemy,Gillet,suzannecharrier@example.com,52,F,35531.97,831.0,13.61,14452.27,Oui,Consommation,CDI,12.4
C01886,Margaud Dupuy,Germain,gregoiredupont@example.net,55,M,37712.73,629.0,39.93,13882.42,Non,Achat Maison,CDD,5.0
C00681,Emmanuel du Launay,Saint Françoisboeuf,zdupuis@example.com,25,M,,707.0,18.97,22526.88,Oui,Auto,Sans Emploi,2.9
C03794,Matthieu Peron-Lejeune,Blot-sur-Raynaud,nicolegermain@example.org,68,M,77695.71,729.0,11.83,9388.86,Non,Business,CDD,7.9
